Date,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,RSI,MACD,MACD_signal,Lag_1,Lag_2,Lag_3,Target
2021-11-01,1154.7296142578125,1163.0108284889366,1134.845529109983,1154.0243384080532,15481114,0.0006111849382368639,1194.1813110351563,1197.5302185058595,45.42107196197368,12.889494740192958,25.029885622999625,1154.0242919921875,1182.39404296875,1195.4986572265625,0
2021-11-02,1137.8941650390625,1159.3707786875088,1135.3688922235076,1158.0057208153316,10569130,-0.014579559587696855,1183.6682739257812,1196.270977783203,41.53370661826242,8.12042800192512,21.647994098784725,1154.7296142578125,1154.0242919921875,1182.39404296875,0
2021-11-03,1130.06787109375,1146.6302984409235,1119.7845647630193,1140.2828162204378,11989430,-0.0068778751010151185,1173.80361328125,1193.4135009765625,39.82725310186738,3.6671194677369385,18.05181917257517,1137.8941650390625,1154.7296142578125,1154.0242919921875,1
2021-11-04,1137.0067138671875,1139.7595760808606,1132.9799021702054,1134.3220924997154,1705656,0.0061402000277395175,1168.177392578125,1192.0257080078125,42.09867520373131,0.6897954588580433,14.579414429831745,1130.06787109375,1137.8941650390625,1154.7296142578125,1
2021-11-08,1138.41748046875,1146.630454409684,1117.691636338527,1146.357370619063,20337183,0.0012407724460694602,1162.4692749023438,1190.4229309082032,42.57331544865328,-1.538186932689996,11.355894157327397,1137.0067138671875,1130.06787109375,1137.8941650390625,1
2021-11-09,1147.40380859375,1150.6798507830363,1131.637644937905,1139.805123815544,15682497,0.007893701809023268,1158.8246337890625,1187.0205688476562,45.63064347774604,-2.549369902618537,8.57484134533821,1138.41748046875,1137.0067138671875,1130.06787109375,1
2021-11-10,1160.2349853515625,1163.9205925184515,1139.190689562383,1145.1286055338037,10253470,0.011182790802776177,1153.7671630859375,1184.6829406738282,49.744777131952105,-2.288984967864053,6.402076082697758,1147.40380859375,1138.41748046875,1137.0067138671875,1
2021-11-11,1162.3511962890625,1169.6085579306034,1153.705909366423,1155.7534963250885,10722478,0.001823950289568943,1150.4524169921874,1182.1064453125,50.41125308999894,-1.8900798306019624,4.743644900037815,1160.2349853515625,1147.40380859375,1138.41748046875,1
2021-11-12,1179.8917236328125,1182.4626105860948,1163.465776749054,1166.1503984605802,8712341,0.015090557311550956,1150.2021850585938,1179.789306640625,55.66012660780212,-0.15676359785447858,3.763563200459356,1162.3511962890625,1160.2349853515625,1147.40380859375,0
2021-11-15,1172.929931640625,1184.0322480185664,1169.3808058406628,1183.031141558392,4803269,-0.00590036513753367,1152.0927490234376,1177.0000793457032,53.250924649759774,0.6476775491989883,3.140386070207283,1179.8917236328125,1162.3511962890625,1160.2349853515625,0
